Item	Outline	Page_Lines	Text	Tokens	Keywords	Tag	Number_of_Keywords
273	(i)	19.43 - 19.47	take advantage of publicly funded workforce development programs, an apprenticeship program registered with the department or a federally recognized state apprenticeship agency and that complies with the requirements under Parts 29 and 30 of title 29, code of federal regulations; and 	take, advantage, of, publicly, funded, workforce, development, programs, an, apprenticeship, program, registered, with, the, department, or, a, federally, recognized, state, apprenticeship, agency, and, that, complies, with, the, requirements, under, parts, 29, and, 30, of, title, 29, code, of, federal, regulations, and	advantage, publicly, funded, workforce, development, programs, apprenticeship, program, registered, department, federally, recognized, state, agency, complies, requirements, parts, title, code, federal, regulations	(§5.) ARTICLE 8-B § 229-b.2.(i)(i)	21
274	(ii)	19.48 - 19.50	include pre-apprenticeship commitments to provide training that helps participants in apprenticeship programs prepare for and successfully complete their training. 	include, pre, apprenticeship, commitments, to, provide, training, that, helps, participants, in, apprenticeship, programs, prepare, for, and, successfully, complete, their, training	pre, apprenticeship, commitments, training, helps, participants, programs, prepare, successfully, complete	(§5.) ARTICLE 8-B § 229-b.2.(i)(ii)	10
275	3.	19.51 - 19.52	Application process. This section shall apply to all contracts as defined in this section. 	application, process, this, section, shall, apply, to, all, contracts, as, defined, in, this, section	application, process, apply, contracts, defined	(§5.) ARTICLE 8-B § 229-b.3.	5
276	(a)	19.53 - 19.54	in awarding contracts under this section, awarding authorities shall utilize the best-value framework for contracts. 	in, awarding, contracts, under, this, section, awarding, authorities, shall, utilize, the, best, value, framework, for, contracts	awarding, contracts, authorities, utilize, value, framework	(§5.) ARTICLE 8-B § 229-b.3.(a)	6
277	(b)	19.55 - 20.2	awarding authorities shall develop a system for awarding extra points and/or credit for those proposers that create and submit a local employment plan or U.S. employment plan (depending on source of funding). 	awarding, authorities, shall, develop, a, system, for, awarding, extra, points, and, or, credit, for, those, proposers, that, create, and, submit, a, local, employment, plan, or, u.s, employment, plan, depending, on, source, of, funding	awarding, authorities, develop, system, extra, credit, proposers, submit, local, employment, plan, u.s, depending, source, funding	(§5.) ARTICLE 8-B § 229-b.3.(b)	15
278	(c)	20.3 - 20.10	final contracts with a local employment plan and/or U.S. employment plan that are awarded under this section shall require vendors to submit quarterly reports within the first year of award and annual reports for subsequent years demonstrating vendor and subvendor compliance with their local employment plan and/or U.S. employment plan. These quarterly and annual reports shall be certified under penalty of perjury and must be submitted in order to receive milestone payments under the contract. 	final, contracts, with, a, local, employment, plan, and, or, u.s, employment, plan, that, are, awarded, under, this, section, shall, require, vendors, to, submit, quarterly, reports, within, the, first, year, of, award, and, annual, reports, for, subsequent, years, demonstrating, vendor, and, subvendor, compliance, with, their, local, employment, plan, and, or, u.s, employment, plan, these, quarterly, and, annual, reports, shall, be, certified, under, penalty, of, perjury, and, must, be, submitted, in, order, to, receive, milestone, payments, under, the, contract	final, contracts, local, employment, plan, u.s, awarded, require, vendors, submit, quarterly, reports, award, annual, subsequent, years, demonstrating, vendor, subvendor, compliance, certified, penalty, perjury, submitted, order, milestone, payments, contract	(§5.) ARTICLE 8-B § 229-b.3.(c)	28
279	(d)	20.11 - 20.16	requests for proposals under this section shall specify that terms and conditions of employment and compliance reports under the local employment plan and/or U.S. employment plan are not exempt from disclosure under the freedom of information law. Quarterly and subsequent annual reports related to contract fulfillment will be shared online on the awarding authority's web site. 	requests, for, proposals, under, this, section, shall, specify, that, terms, and, conditions, of, employment, and, compliance, reports, under, the, local, employment, plan, and, or, u.s, employment, plan, are, not, exempt, from, disclosure, under, the, freedom, of, information, law, quarterly, and, subsequent, annual, reports, related, to, contract, fulfillment, will, be, shared, online, on, the, awarding, authority's, web, site	requests, proposals, specify, terms, conditions, employment, compliance, reports, local, plan, u.s, exempt, disclosure, freedom, information, law, quarterly, subsequent, annual, related, contract, fulfillment, shared, online, awarding, authority's	(§5.) ARTICLE 8-B § 229-b.3.(d)	26
280	(e)	20.17 - 20.20	the awarding authority shall enact regulations creating forms for completion of the local employment plan and/or U.S. employment plan that the awarding authority will include with requests for proposals for contracts. 	the, awarding, authority, shall, enact, regulations, creating, forms, for, completion, of, the, local, employment, plan, and, or, u.s, employment, plan, that, the, awarding, authority, will, include, with, requests, for, proposals, for, contracts	awarding, authority, enact, regulations, creating, forms, completion, local, employment, plan, u.s, requests, proposals, contracts	(§5.) ARTICLE 8-B § 229-b.3.(e)	14
281	§ 6.	20.21 - 20.22	Section 231 of the labor law is amended by adding a new subdivision 8 to read as follows: 	section, 231, of, the, labor, law, is, amended, by, adding, a, new, subdivision, 8, to, read, as, follows	labor, law, amended, adding, new, subdivision, follows	§ 6.	7
282	8.	20.23 - 20.34	Building service employees employed in any building or facility that has received grants or tax abatements or exemptions or other assistance with a total present financial value of one million dollars or more for the increase of energy efficiency, building electrification upgrades, the development of renewable energies, or climate change resiliency shall be paid not less than the prevailing wage. Employers engaged in the provision of building service work shall be subject to all the reporting and compliance requirements of this article, including the right to maintain an action for the difference between the prevailing wages and the wages actually received. The prevailing wage requirement shall apply for the duration of the assistance or ten years after the project opens, whichever is longer. 	building, service, employees, employed, in, any, building, or, facility, that, has, received, grants, or, tax, abatements, or, exemptions, or, other, assistance, with, a, total, present, financial, value, of, one, million, dollars, or, more, for, the, increase, of, energy, efficiency, building, electrification, upgrades, the, development, of, renewable, energies, or, climate, change, resiliency, shall, be, paid, not, less, than, the, prevailing, wage, employers, engaged, in, the, provision, of, building, service, work, shall, be, subject, to, all, the, reporting, and, compliance, requirements, of, this, article, including, the, right, to, maintain, an, action, for, the, difference, between, the, prevailing, wages, and, the, wages, actually, received, the, prevailing, wage, requirement, shall, apply, for, the, duration, of, the, assistance, or, ten, years, after, the, project, opens, whichever, is, longer	building, service, employees, employed, facility, grants, tax, abatements, exemptions, assistance, total, financial, value, million, dollars, increase, energy, efficiency, electrification, upgrades, development, renewable, energies, climate, resiliency, paid, prevailing, wage, employers, engaged, provision, work, subject, reporting, compliance, requirements, article, maintain, action, difference, wages, actually, requirement, apply, duration, years, project, opens, whichever, longer	§ 6.8.	50
